# 2021/11/14 - 17:19 | PDB: 45.21 | UniProt: 2021.04
PDB	ORDINAL	PUBMED_ID
100d	0	7816639
101d	0	7711020
102d	0	7608897
102l	0	8429913
103d	0	7966337
103l	0	8429913
104d	0	7857947
104l	0	8429913
105d	0	7743125
106d	0	7743125
107d	0	7731041
107l	0	8503008
107l	1	2916125
108d	0	7612596
108l	0	8503008
108l	1	2916125
109d	0	7478996
109l	0	8503008
109l	1	2916125
10gs	0	9398518
10gs	1	1522586
10mh	0	9925782
110d	0	15299505
110l	0	8503008
110l	1	2916125
111d	0	2754734
111l	0	8503008
111l	1	2916125
112d	0	3458205
112l	0	8503008
112l	1	2916125
113d	0	3611072
113l	0	8503008
113l	1	2916125
114d	0	3671069
114l	0	8503008
114l	1	2916125
115d	0	3271041
115l	0	8503008
115l	1	2916125
116d	0	1404387
116d	1	1480485
117d	0	1480485
117e	0	9878371
118d	0	1463751
118l	0	8218201
118l	1	2916125
119d	0	8230199
119l	0	8218201
119l	1	2916125
11as	0	9437423
11ba	0	10082366
11ba	2	7731986
11ba	3	15299514
11bg	0	10543951
11bg	2	10082366
11bg	4	7731986
11bg	5	15299514
11gs	0	9426214
120l	0	8218201
120l	1	2916125
121d	0	8395202
122d	0	15299506
122l	0	8218201
122l	1	2916125
123d	0	15299506
123l	0	8218201
123l	1	2916125
124d	0	8411159
125l	0	8218201
125l	1	2916125
126d	0	8464909
126l	0	8218201
126l	1	2916125
127d	0	1371249
127l	0	8218201
127l	1	2916125
128d	0	1371249
128l	0	8218201
128l	1	2916125
129d	0	1371249
129l	0	8298466
129l	1	7507755
12as	0	9437423
12ca	0	1910042
12e8	0	10089402
12gs	0	10452896
130d	0	1371249
130l	0	8298466
130l	1	7507755
131d	0	8110738
131l	0	8298466
131l	1	7507755
132d	0	1457407
132l	0	8373783
133d	0	8284207
133l	0	8105095
133l	1	2493374
134d	0	8069626
134l	0	8105095
134l	1	2493374
135d	0	8069626
135l	0	15299509
136d	0	8069626
137d	0	8218212
137l	0	8503008
137l	1	2916125
138d	0	8218212
138l	0	8177878
139d	0	8263919
139d	1	1525153
139l	0	8177878
13gs	0	10452896
13pk	0	9000079
140d	0	8257678
140l	0	8259514
140l	2	2916125
141d	0	8257678
141l	0	8259514
141l	2	2916125
142d	0	8257678
142l	0	8259514
142l	2	2916125
143d	0	8081740
143l	0	8259514
143l	2	2916125
144d	0	8373768
144l	0	8259514
144l	2	2916125
145d	0	8257675
145l	0	8259514
145l	2	2916125
146d	0	8329387
146l	0	8259514
146l	2	2916125
147l	0	8259514
147l	2	2916125
148d	0	8107090
148d	1	8475124
148l	0	8266098
149d	0	8075980
149l	0	7920248
149l	1	3405287
149l	2	2674124
14gs	0	9665696
150d	0	8161534
150l	0	7920248
150l	1	2234094
151d	0	8142363
151l	0	7920248
152d	0	8142363
152l	0	7920248
152l	2	1304882
152l	3	2334683
152l	4	2812028
153d	0	8142345
153l	0	7823320
154d	0	8142381
154l	0	7823320
155c	0	180013
155l	0	7869383
156d	0	8069635
156d	1	8357810
156d	2	1545871
156l	0	7869383
157d	0	7922026
157l	0	7869383
158d	0	8364037
158l	0	7869383
159d	0	7656035
159l	0	7869383
160d	0	8510155
160l	0	7869383
161d	0	7508984
161l	0	7869383
162l	0	7869383
163l	0	7869383
164l	0	7869383
165d	0	7514296
165l	0	7869383
166d	0	7813486
166l	0	7869383
167d	0	8196049
167l	0	7616572
168d	0	9383369
168l	0	7616572
169d	0	8064857
169l	0	7616572
16gs	0	9665696
16pk	0	9642090
16vp	0	10398682
