lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.7661339044570923,0.26515746116638184,203.8958282470703,1.5611097812652588,1.5611097812652588,0.24565714597702026,0.24565714597702026,0.24034640192985535,0.49297142028808594,0.49297142028808594,0.24385683238506317,0.24565714597702026,0.49297142028808594,0.24625703692436218,0.49401167035102844,0.24565714597702026,0,,,,,,,,,,,,,
1.1182382915795542e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7717287540435791,0.27271056175231934,0.2588615119457245,0.259765625,0.259765625,0.2577624022960663,0.515625,0.515625,0.259765625,0.515625,0.2574504017829895,0.5136226415634155,3.2433154582977295
,67,0.7647188901901245,0.2638973891735077,203.897216796875,1.5223790407180786,1.5223790407180786,0.259628564119339,0.259628564119339,0.2510588467121124,0.5035428404808044,0.5035428404808044,0.2488202303647995,0.259628564119339,0.5035428404808044,0.2600761651992798,0.5038860440254211,0.259628564119339,0,,,,,,,,,,,,,
1.4825370244160239e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7781190276145935,0.278225302696228,0.23307648301124573,0.2333984375,0.2333984375,0.24862182140350342,0.49609375,0.49609375,0.2333984375,0.49609375,0.23394784331321716,0.4966528117656708,3.5036022663116455
,101,0.7642256617546082,0.2634238004684448,203.8988800048828,1.5001503229141235,1.5001503229141235,0.2581428587436676,0.2581428587436676,0.24909977614879608,0.5044571161270142,0.5044571161270142,0.24952930212020874,0.2581428587436676,0.5044571161270142,0.25853344798088074,0.5047609806060791,0.2581428587436676,0,,,,,,,,,,,,,
,135,0.7633180022239685,0.2626078128814697,203.90139770507812,1.4772170782089233,1.4772170782089233,0.2670571506023407,0.2670571506023407,0.25931188464164734,0.510028600692749,0.510028600692749,0.253118097782135,0.2670571506023407,0.510028600692749,0.2674294710159302,0.5105800628662109,0.2670571506023407,0,,,,,,,,,,,,,
2.092585928966765e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,0,0.7744951248168945,0.27509111166000366,0.2473631650209427,0.2470703125,0.2470703125,0.25666895508766174,0.5078125,0.5078125,0.2470703125,0.5078125,0.2504124045372009,0.5110442042350769,3.1781840324401855
,169,0.7625956535339355,0.2619973123073578,203.9047088623047,1.45951247215271,1.45951247215271,0.2704285681247711,0.2704285681247711,0.2629739046096802,0.5162857174873352,0.5162857174873352,0.2561216950416565,0.2704285681247711,0.5162857174873352,0.2705497741699219,0.5161504745483398,0.2704285681247711,0,,,,,,,,,,,,,
2.9477829606150416e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,0,0.7748851776123047,0.27534395456314087,0.24635785818099976,0.2451171875,0.2451171875,0.23671573400497437,0.47265625,0.47265625,0.2451171875,0.47265625,0.24578580260276794,0.47385287284851074,3.0001440048217773
,203,0.7619277238845825,0.2614043951034546,203.9087677001953,1.4453805685043335,1.4453805685043335,0.2726571559906006,0.2726571559906006,0.2645610272884369,0.5163999795913696,0.5163999795913696,0.2562706768512726,0.2726571559906006,0.5163999795913696,0.2724933624267578,0.5163432955741882,0.2726571559906006,0,,,,,,,,,,,,,
,237,0.7615205645561218,0.2610522508621216,203.91343688964844,1.4338719844818115,1.4338719844818115,0.27311429381370544,0.27311429381370544,0.26617446541786194,0.524228572845459,0.524228572845459,0.2610777020454407,0.27311429381370544,0.524228572845459,0.2730225920677185,0.5241623520851135,0.27311429381370544,0,,,,,,,,,,,,,
4.047284143139844e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,,,0,0.7708224654197693,0.27158674597740173,0.26501548290252686,0.2626953125,0.2626953125,0.2612912952899933,0.5205078125,0.5205078125,0.2626953125,0.5205078125,0.2622106075286865,0.519919216632843,2.897597074508667
,271,0.761087954044342,0.26065945625305176,203.9192352294922,1.4205305576324463,1.4205305576324463,0.27951428294181824,0.27951428294181824,0.27252545952796936,0.5388571619987488,0.5388571619987488,0.2688572406768799,0.27951428294181824,0.5388571619987488,0.2794099748134613,0.5386812090873718,0.27951428294181824,0,,,,,,,,,,,,,
5.3900044016183834e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,,,,,,,,,,,,,,,,,0,0.7731196284294128,0.27353453636169434,0.242695614695549,0.2412109375,0.2412109375,0.2559405267238617,0.505859375,0.505859375,0.2412109375,0.505859375,0.24036270380020142,0.5047232508659363,2.6840364933013916
,305,0.7613540291786194,0.26084959506988525,203.92591857910156,1.4174352884292603,1.4174352884292603,0.2742857038974762,0.2742857038974762,0.26922768354415894,0.5327428579330444,0.5327428579330444,0.26734936237335205,0.2742857038974762,0.5327428579330444,0.27601200342178345,0.5342726707458496,0.2742857038974762,0,,,,,,,,,,,,,
,339,0.7610192894935608,0.26054897904396057,203.9339599609375,1.4082049131393433,1.4082049131393433,0.2835428714752197,0.2835428714752197,0.2782597541809082,0.5377428531646729,0.5377428531646729,0.2687896490097046,0.2835428714752197,0.5377428531646729,0.2832508683204651,0.5374489426612854,0.2835428714752197,0,,,,,,,,,,,,,
6.974618633264127e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,,,,,,,,,,,,,,,,,0,0.7729026079177856,0.273088276386261,0.2304929941892624,0.228515625,0.228515625,0.25225600600242615,0.501953125,0.501953125,0.228515625,0.501953125,0.22958266735076904,0.5024393796920776,2.564242124557495
,373,0.7610214948654175,0.26050129532814026,203.94224548339844,1.4019889831542969,1.4019889831542969,0.2850571572780609,0.2850571572780609,0.27886635065078735,0.543657124042511,0.543657124042511,0.2716922163963318,0.2850571572780609,0.543657124042511,0.2846693992614746,0.5435455441474915,0.2850571572780609,0,,,,,,,,,,,,,
8.799563015143274e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,,,,,,,,,,,,,,,,,0,0.7686020135879517,0.26912593841552734,0.25924456119537354,0.2607421875,0.2607421875,0.25530433654785156,0.5107421875,0.5107421875,0.2607421875,0.5107421875,0.26255911588668823,0.512209415435791,2.294290542602539
,407,0.7611717581748962,0.2606036365032196,203.95208740234375,1.397828221321106,1.397828221321106,0.28540000319480896,0.28540000319480896,0.28320613503456116,0.5437142848968506,0.5437142848968506,0.2731539309024811,0.28540000319480896,0.5437142848968506,0.28584957122802734,0.544321596622467,0.28540000319480896,0,,,,,,,,,,,,,
,441,0.7613368034362793,0.26074159145355225,203.96221923828125,1.3946685791015625,1.3946685791015625,0.2880285680294037,0.2880285680294037,0.2852294445037842,0.5410571694374084,0.5410571694374084,0.27138733863830566,0.2880285680294037,0.5410571694374084,0.2881726622581482,0.5411210656166077,0.2880285680294037,0,,,,,,,,,,,,,
1.0863036547479045e-05,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,,,,,,,,,,,,,,,,,0,0.7680858373641968,0.26847517490386963,0.2761707305908203,0.2763671875,0.2763671875,0.25799083709716797,0.513671875,0.513671875,0.2763671875,0.513671875,0.2770550847053528,0.5137761831283569,2.1610164642333984
,475,0.7614293694496155,0.2608042359352112,203.97244262695312,1.3904439210891724,1.3904439210891724,0.2834285795688629,0.2834285795688629,0.2808511257171631,0.5474571585655212,0.5474571585655212,0.2749685049057007,0.2834285795688629,0.5474571585655212,0.28477755188941956,0.5486438274383545,0.2834285795688629,0,,,,,,,,,,,,,
1.3163002831021261e-05,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,,,,,,,,,,,,,,,,,0,0.7638111114501953,0.2643362283706665,0.2806774973869324,0.27734375,0.27734375,0.2675931751728058,0.533203125,0.533203125,0.27734375,0.533203125,0.27717262506484985,0.5331790447235107,1.9091070890426636
,509,0.7614083290100098,0.2607590854167938,203.98306274414062,1.3856818675994873,1.3856818675994873,0.29260000586509705,0.29260000586509705,0.2902431786060333,0.5500571131706238,0.5500571131706238,0.27642667293548584,0.29260000586509705,0.5500571131706238,0.2922861576080322,0.5496718883514404,0.29260000586509705,0,,,,,,,,,,,,,
,543,0.761752724647522,0.26106658577919006,203.99383544921875,1.3865416049957275,1.3865416049957275,0.28445714712142944,0.28445714712142944,0.2814665734767914,0.5426285862922668,0.5426285862922668,0.27230972051620483,0.28445714712142944,0.5426285862922668,0.28418004512786865,0.5424367785453796,0.28445714712142944,0,,,,,,,,,,,,,
1.5697192076726342e-05,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
