lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.7662177085876465,0.26484325528144836,34.0124626159668,1.4857481718063354,1.4857481718063354,0.21462857723236084,0.21462857723236084,0.2137867510318756,0.4683428704738617,0.4683428704738617,0.23576492071151733,0.21462857723236084,0.4683428704738617,0.21574178338050842,0.4701206386089325,0.21462857723236084,0,,,,,,,,,,,,,
1.4736640177705982e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7722929120063782,0.27231118083000183,0.24238334596157074,0.2421875,0.2421875,0.2560870051383972,0.5107421875,0.5107421875,0.2421875,0.5107421875,0.24225404858589172,0.5101792812347412,2.3660695552825928
,67,0.7659024000167847,0.26455241441726685,34.01288986206055,1.4709539413452148,1.4709539413452148,0.21485714614391327,0.21485714614391327,0.2075348049402237,0.4668285846710205,0.4668285846710205,0.23481464385986328,0.21485714614391327,0.4668285846710205,0.2149265706539154,0.46684253215789795,0.21485714614391327,0,,,,,,,,,,,,,
2.9330491218589815e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7727571725845337,0.27270543575286865,0.25105389952659607,0.25,0.25,0.24991077184677124,0.4990234375,0.4990234375,0.25,0.4990234375,0.250340074300766,0.5007195472717285,2.309983491897583
,101,0.7653533220291138,0.26406052708625793,34.01358413696289,1.453637719154358,1.453637719154358,0.22091428935527802,0.22091428935527802,0.21732541918754578,0.46534284949302673,0.46534284949302673,0.23427285254001617,0.22091428935527802,0.46534284949302673,0.2211993932723999,0.465804785490036,0.22091428935527802,0,,,,,,,,,,,,,
,135,0.7646992802619934,0.26346006989479065,34.01456832885742,1.4376780986785889,1.4376780986785889,0.22771428525447845,0.22771428525447845,0.223502054810524,0.4722857177257538,0.4722857177257538,0.238743394613266,0.22771428525447845,0.4722857177257538,0.22871962189674377,0.47357288002967834,0.22771428525447845,0,,,,,,,,,,,,,
5.376912368746621e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,0,0.7724879384040833,0.2725389003753662,0.23892447352409363,0.23828125,0.23828125,0.23628327250480652,0.4716796875,0.4716796875,0.23828125,0.4716796875,0.23809897899627686,0.4719797968864441,2.2941880226135254
,169,0.7640545964241028,0.2629217207431793,34.016014099121094,1.425902009010315,1.425902009010315,0.2387142926454544,0.2387142926454544,0.23720605671405792,0.4843714237213135,0.4843714237213135,0.24485613405704498,0.2387142926454544,0.4843714237213135,0.23854614794254303,0.48483967781066895,0.2387142926454544,0,,,,,,,,,,,,,
8.802841960459856e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,0,0.7677632570266724,0.26832112669944763,0.28198397159576416,0.28125,0.28125,0.2513408064842224,0.501953125,0.501953125,0.28125,0.501953125,0.2812454104423523,0.5016759634017944,2.1081063747406006
,203,0.7635976076126099,0.2625143826007843,34.01791763305664,1.4166499376296997,1.4166499376296997,0.24888572096824646,0.24888572096824646,0.24382418394088745,0.49145713448524475,0.49145713448524475,0.24703103303909302,0.24888572096824646,0.49145713448524475,0.24827224016189575,0.49074169993400574,0.24888572096824646,0,,,,,,,,,,,,,
,237,0.763260006904602,0.2622142434120178,34.02053451538086,1.4101821184158325,1.4101821184158325,0.2563428580760956,0.2563428580760956,0.2527260184288025,0.49705713987350464,0.49705713987350464,0.25085240602493286,0.2563428580760956,0.49705713987350464,0.255247563123703,0.4960609972476959,0.2563428580760956,0,,,,,,,,,,,,,
1.3207456918109316e-05,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,,,0,0.76911461353302,0.26938396692276,0.2668198347091675,0.2666015625,0.2666015625,0.26033616065979004,0.5185546875,0.5185546875,0.2666015625,0.5185546875,0.26593756675720215,0.5181330442428589,2.0290982723236084
,271,0.7628632187843323,0.2618637979030609,34.023834228515625,1.402698278427124,1.402698278427124,0.27062857151031494,0.27062857151031494,0.27503132820129395,0.5065714120864868,0.5065714120864868,0.2573222517967224,0.27062857151031494,0.5065714120864868,0.27026140689849854,0.5061570405960083,0.27062857151031494,0,,,,,,,,,,,,,
1.8586410418507313e-05,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
