lr-AdamW,step,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s,epoch,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0708481947540813e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.7724037170410156,0.27333831787109375,0.25769758224487305,0.2581380009651184,0.2581380009651184,0.24931304156780243,0.4973958134651184,0.4973958134651184,0.2581380307674408,0.4973958432674408,0.2581574320793152,0.4977497458457947,2.5569612979888916,0,,,,,,,,,,,,,,,,
1.2891354114236294e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.7734367251396179,0.27437350153923035,0.24816779792308807,0.2483723908662796,0.2483723908662796,0.2493596225976944,0.498046875,0.498046875,0.2483723908662796,0.498046875,0.24776165187358856,0.4972473978996277,2.4662930965423584,0,,,,,,,,,,,,,,,,
1.6546757369961176e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.7770134806632996,0.27814000844955444,0.22541038691997528,0.2265625,0.2265625,0.2436058223247528,0.4873046875,0.4873046875,0.2265625,0.4873046875,0.22594837844371796,0.48682522773742676,2.5545639991760254,0,,,,,,,,,,,,,,,,
2.1671084273023994e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.7738820910453796,0.27480441331863403,0.2458249032497406,0.2454427182674408,0.2454427182674408,0.24824422597885132,0.4954426884651184,0.4954426884651184,0.2454427033662796,0.4954427182674408,0.24536271393299103,0.49567553400993347,2.43941330909729,0,,,,,,,,,,,,,,,,
,226,,,,,,,,,,,,,,0,0.7634140253067017,0.263062447309494,34.0478630065918,1.409732460975647,1.409732460975647,0.26954856514930725,0.26954856514930725,0.27023494243621826,0.5220943093299866,0.5220943093299866,0.26158928871154785,0.26954856514930725,0.5220943093299866,0.2693142592906952,0.5217710733413696,0.26954856514930725
2.8259277731439145e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.7712720632553101,0.2720182538032532,0.2515968084335327,0.2516276240348816,0.2516276240348816,0.2565157413482666,0.5130208134651184,0.5130208134651184,0.2516275942325592,0.5130208134651184,0.2518068850040436,0.513131856918335,2.275287389755249,0,,,,,,,,,,,,,,,,
3.630483599366526e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,0.7730234861373901,0.27387338876724243,0.23704582452774048,0.2366536557674408,0.2366536557674408,0.2519994080066681,0.5035806894302368,0.5035806894302368,0.2366536408662796,0.5035807490348816,0.23672577738761902,0.5035465955734253,2.2968950271606445,0,,,,,,,,,,,,,,,,
4.579981906504957e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,0.7709295749664307,0.27162933349609375,0.2523190975189209,0.2526041865348816,0.2526041865348816,0.25105416774749756,0.5016276240348816,0.5016276240348816,0.2526041567325592,0.5016276240348816,0.25278598070144653,0.5015907883644104,2.2105658054351807,0,,,,,,,,,,,,,,,,
5.673485654364405e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,0.7706012725830078,0.271196573972702,0.2456282079219818,0.2454427182674408,0.2454427182674408,0.2513365149497986,0.5026041865348816,0.5026041865348816,0.2454427033662796,0.5026041865348816,0.24524623155593872,0.5026525259017944,2.13171648979187,0,,,,,,,,,,,,,,,,
6.909915686766e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,0.7698620557785034,0.270384281873703,0.25216156244277954,0.2516275942325592,0.2516275942325592,0.25148147344589233,0.5022786855697632,0.5022786855697632,0.2516275942325592,0.5022786259651184,0.25149768590927124,0.5026080012321472,2.0574347972869873,0,,,,,,,,,,,,,,,,
,453,,,,,,,,,,,,,,0,0.7604193091392517,0.2599746882915497,34.05571365356445,1.3611021041870117,1.3611021041870117,0.34734857082366943,0.34734857082366943,0.343679279088974,0.6073856949806213,0.6073856949806213,0.30329951643943787,0.34734857082366943,0.6073856949806213,0.34748026728630066,0.6075190305709839,0.34734857082366943
8.2880517965438e-06,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,499,0.7681882381439209,0.26857030391693115,0.25759559869766235,0.2574869692325592,0.2574869692325592,0.2571401000022888,0.5139974355697632,0.5139974355697632,0.2574869692325592,0.5139973759651184,0.2575024962425232,0.5139753818511963,1.938008427619934,0,,,,,,,,,,,,,,,,
9.806533929741839e-06,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,549,0.767540454864502,0.2678476870059967,0.25296133756637573,0.2529296875,0.2529296875,0.2597832977771759,0.51953125,0.51953125,0.2529296875,0.51953125,0.25306740403175354,0.51957106590271,1.844131588935852,0,,,,,,,,,,,,,,,,
1.1463863527823197e-05,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,599,0.7635639905929565,0.2636699676513672,0.28183606266975403,0.2819010317325592,0.2819010317325592,0.2722378969192505,0.5442708134651184,0.5442708134651184,0.2819010317325592,0.5442708134651184,0.2818259596824646,0.5442917943000793,1.73783278465271,0,,,,,,,,,,,,,,,,
1.325840500656642e-05,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,649,0.7661594152450562,0.26627129316329956,0.2632620930671692,0.2630208134651184,0.2630208134651184,0.25447773933410645,0.5087890625,0.5087890625,0.2630208432674408,0.5087890625,0.2634096145629883,0.5092664957046509,1.7220460176467896,0,,,,,,,,,,,,,,,,
,680,,,,,,,,,,,,,,0,0.7578999996185303,0.2573968470096588,34.071319580078125,1.3256211280822754,1.3256211280822754,0.41500142216682434,0.41500142216682434,0.4242508113384247,0.6784228682518005,0.6784228682518005,0.3450940251350403,0.41500142216682434,0.6784228682518005,0.41489356756210327,0.6783514022827148,0.41500142216682434
1.51883873701896e-05,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,699,0.7636491060256958,0.26361629366874695,0.2695353627204895,0.2698567509651184,0.2698567509651184,0.2674384117126465,0.5345051884651184,0.5345051884651184,0.2698567807674408,0.5345051884651184,0.26940006017684937,0.5348581075668335,1.6291825771331787,0,,,,,,,,,,,,,,,,
1.7251905959109433e-05,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,749,0.762419581413269,0.2622915506362915,0.2843230366706848,0.2838541567325592,0.2838541567325592,0.2679448425769806,0.5345052480697632,0.5345052480697632,0.2838541567325592,0.5345051884651184,0.2838672697544098,0.5338641405105591,1.5745081901550293,0,,,,,,,,,,,,,,,,
1.9446924329610258e-05,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,799,0.7606673240661621,0.26045769453048706,0.2981743812561035,0.2981770932674408,0.2981770932674408,0.2807738184928894,0.560546875,0.560546875,0.2981770932674408,0.560546875,0.2982019782066345,0.5603885650634766,1.5117493867874146,0,,,,,,,,,,,,,,,,
2.1771276263568193e-05,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,849,0.7600440979003906,0.25977811217308044,0.30024296045303345,0.3004557192325592,0.3004557192325592,0.2814300060272217,0.5625,0.5625,0.3004557192325592,0.5625,0.30140626430511475,0.5633672475814819,1.4793298244476318,0,,,,,,,,,,,,,,,,
2.4222667906246846e-05,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,899,0.7599694728851318,0.259674072265625,0.3044138550758362,0.3043619692325592,0.3043619692325592,0.281700998544693,0.560546875,0.560546875,0.3043619692325592,0.560546875,0.3034464120864868,0.5600451231002808,1.458736538887024,0,,,,,,,,,,,,,,,,
,907,,,,,,,,,,,,,,0,0.756552517414093,0.25602471828460693,34.09035873413086,1.308789849281311,1.308789849281311,0.44545143842697144,0.44545143842697144,0.46024224162101746,0.7070357203483582,0.7070357203483582,0.3655238747596741,0.44545143842697144,0.7070357203483582,0.4455811679363251,0.7070860862731934,0.44545143842697144
2.6798680030054955e-05,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,949,0.7588133215904236,0.2584689259529114,0.31778743863105774,0.3180338442325592,0.3180338442325592,0.2882929742336273,0.5755208134651184,0.5755208134651184,0.3180338442325592,0.5755208134651184,0.3183332085609436,0.5755465626716614,1.4232045412063599,0,,,,,,,,,,,,,,,,
2.9496770422032045e-05,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,0.757736086845398,0.2573584318161011,0.3259749114513397,0.3264973759651184,0.3264973759651184,0.2932767868041992,0.58203125,0.58203125,0.3264974057674408,0.58203125,0.3256632685661316,0.5813695192337036,1.4094229936599731,0,,,,,,,,,,,,,,,,
3.231427639270565e-05,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1049,0.7579687833786011,0.25758224725723267,0.3158022463321686,0.3167317509651184,0.3167317509651184,0.290973424911499,0.5768229365348816,0.5768229365348816,0.3167317807674408,0.5768229365348816,0.31640830636024475,0.5767055749893188,1.401425838470459,0,,,,,,,,,,,,,,,,
3.524841740384432e-05,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1099,0.7571074366569519,0.2567025423049927,0.3302149176597595,0.33203125,0.33203125,0.29957497119903564,0.5944010615348816,0.5944010615348816,0.33203125,0.5944010615348816,0.33188730478286743,0.5942966341972351,1.3831512928009033,0,,,,,,,,,,,,,,,,
,1134,,,,,,,,,,,,,,0,0.753093957901001,0.2525351643562317,34.1070556640625,1.2768555879592896,1.2768555879592896,0.4679657220840454,0.4679657220840454,0.4694511592388153,0.7261428833007812,0.7261428833007812,0.3712283670902252,0.4679657220840454,0.7261428833007812,0.4683668315410614,0.7263898849487305,0.4679657220840454
3.829629781251321e-05,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1149,0.7556705474853516,0.2552456259727478,0.34000396728515625,0.345703125,0.345703125,0.3058554530143738,0.6070963740348816,0.6070963740348816,0.345703125,0.6070963740348816,0.34836918115615845,0.6085295677185059,1.3619303703308105,0,,,,,,,,,,,,,,,,
4.145490972872402e-05,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1199,0.7554222941398621,0.2549947500228882,0.35218486189842224,0.3583984375,0.3583984375,0.313863605260849,0.6207682490348816,0.6207682490348816,0.3583984375,0.6207682490348816,0.3573097586631775,0.6202887296676636,1.3643485307693481,0,,,,,,,,,,,,,,,,
4.472113598385928e-05,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1249,0.7549533843994141,0.25451964139938354,0.3422906994819641,0.3479817509651184,0.3479817509651184,0.30846673250198364,0.6067708134651184,0.6067708134651184,0.3479817807674408,0.6067708134651184,0.3470720052719116,0.6063554286956787,1.3564064502716064,0,,,,,,,,,,,,,,,,
4.809175320694145e-05,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1299,0.7535483241081238,0.25310298800468445,0.3699154257774353,0.373046875,0.373046875,0.32020074129104614,0.6321614384651184,0.6321614384651184,0.373046875,0.6321614384651184,0.3729824125766754,0.6327395439147949,1.3402657508850098,0,,,,,,,,,,,,,,,,
5.1563435005710904e-05,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,0.7525476217269897,0.25208884477615356,0.3751063942909241,0.3828125,0.3828125,0.3197753131389618,0.634765625,0.634765625,0.3828125,0.634765625,0.38617074489593506,0.6355237364768982,1.3273746967315674,0,,,,,,,,,,,,,,,,
,1361,,,,,,,,,,,,,,0,0.7480967044830322,0.24755831062793732,34.11972427368164,1.2434570789337158,1.2434570789337158,0.4704042971134186,0.4704042971134186,0.47349226474761963,0.7310957312583923,0.7310957312583923,0.3663427531719208,0.4704042971134186,0.7310957312583923,0.4703662395477295,0.7312220335006714,0.4704042971134186
5.513275524937346e-05,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1399,0.7517503499984741,0.25129371881484985,0.39250242710113525,0.4007161259651184,0.4007161259651184,0.3329635560512543,0.6510416865348816,0.6510416865348816,0.4007161557674408,0.6510416865348816,0.39765316247940063,0.6495774388313293,1.3227872848510742,0,,,,,,,,,,,,,,,,
5.8796191449777903e-05,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1449,0.7499797344207764,0.24951595067977905,0.40322548151016235,0.4117838740348816,0.4117838740348816,0.34069404006004333,0.6695963144302368,0.6695963144302368,0.4117838442325592,0.6695963740348816,0.41138598322868347,0.6693626046180725,1.3009639978408813,0,,,,,,,,,,,,,,,,
6.255012823768644e-05,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1499,0.7494587898254395,0.2489994764328003,0.40474411845207214,0.4137369990348816,0.4137369990348816,0.3372896909713745,0.6656901240348816,0.6656901240348816,0.4137369692325592,0.6656901240348816,0.4174776077270508,0.666906476020813,1.2996652126312256,0,,,,,,,,,,,,,,,,
6.639086093070764e-05,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1549,0.7491828799247742,0.24873700737953186,0.39181792736053467,0.4046224057674408,0.4046224057674408,0.33834874629974365,0.6653646230697632,0.6653646230697632,0.4046224057674408,0.6653645634651184,0.40575170516967773,0.6659557819366455,1.2998735904693604,0,,,,,,,,,,,,,,,,
,1588,,,,,,,,,,,,,,0,0.7432217001914978,0.24279551208019257,34.128929138183594,1.2257483005523682,1.2257483005523682,0.46936285495758057,0.46936285495758057,0.4785577654838562,0.7328985929489136,0.7328985929489136,0.36614862084388733,0.46936285495758057,0.7328985929489136,0.46930932998657227,0.732890248298645,0.46936285495758057
7.031459918937087e-05,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1599,0.7483057975769043,0.24785062670707703,0.4130488336086273,0.42578125,0.42578125,0.3520445227622986,0.6868489384651184,0.6868489384651184,0.42578125,0.6868489384651184,0.4233447015285492,0.6859511733055115,1.2862067222595215,0,,,,,,,,,,,,,,,,
7.431747075773341e-05,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1649,0.7465742826461792,0.24612753093242645,0.42414480447769165,0.431640625,0.431640625,0.3494189381599426,0.68359375,0.68359375,0.431640625,0.68359375,0.4310367703437805,0.6837282180786133,1.266814947128296,0,,,,,,,,,,,,,,,,
7.839552528482986e-05,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1699,0.7482449412345886,0.24780362844467163,0.40108662843704224,0.4117838740348816,0.4117838740348816,0.3475162386894226,0.677734375,0.677734375,0.4117838442325592,0.677734375,0.41232892870903015,0.6777662634849548,1.288966417312622,0,,,,,,,,,,,,,,,,
8.254473822319143e-05,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1749,0.746393084526062,0.24596130847930908,0.414173424243927,0.4254557192325592,0.4254557192325592,0.3523230254650116,0.6881510019302368,0.6881510019302368,0.4254557192325592,0.6881510615348816,0.4259594976902008,0.6884048581123352,1.2671449184417725,0,,,,,,,,,,,,,,,,
8.676101480058852e-05,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1799,0.7456449270248413,0.24521975219249725,0.42065489292144775,0.43359375,0.43359375,0.35366812348365784,0.6946614980697632,0.6946614980697632,0.43359375,0.6946614384651184,0.4341171085834503,0.6932400465011597,1.2614555358886719,0,,,,,,,,,,,,,,,,
,1815,,,,,,,,,,,,,,0,0.7403308153152466,0.2399991899728775,34.13414001464844,1.2166492938995361,1.2166492938995361,0.47469285130500793,0.47469285130500793,0.4850132465362549,0.7370571494102478,0.7370571494102478,0.36793020367622375,0.47469285130500793,0.7370571494102478,0.47485607862472534,0.7371318340301514,0.47469285130500793
9.10401940610765e-05,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1849,0.7462599277496338,0.24582558870315552,0.4286760985851288,0.4394530951976776,0.4394530951976776,0.3587414026260376,0.6982421875,0.6982421875,0.439453125,0.6982421875,0.43866223096847534,0.6981189250946045,1.272660493850708,0,,,,,,,,,,,,,,,,
9.537805297135683e-05,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1899,0.7430332899093628,0.2426273673772812,0.4473811984062195,0.4586588740348816,0.4586588740348816,0.36537420749664307,0.7122396230697632,0.7122396230697632,0.4586588442325592,0.7122395634651184,0.4575067162513733,0.7123481035232544,1.2374560832977295,0,,,,,,,,,,,,,,,,
9.977031058840114e-05,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1949,0.7453858256340027,0.244972825050354,0.4312736392021179,0.44140625,0.44140625,0.35563549399375916,0.6949869394302368,0.6949869394302368,0.44140625,0.6949869990348816,0.4422270655632019,0.6953573822975159,1.269890546798706,0,,,,,,,,,,,,,,,,
0.00010421263228422508,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,0.7435213923454285,0.2431265115737915,0.44655266404151917,0.4557291567325592,0.4557291567325592,0.36849576234817505,0.7106119394302368,0.7106119394302368,0.4557291567325592,0.7106119990348816,0.4511704444885254,0.7101506590843201,1.2520588636398315,0,,,,,,,,,,,,,,,,
,2042,,,,,,,,,,,,,,0,0.7389375567436218,0.2386271208524704,34.13547897338867,1.2017878293991089,1.2017878293991089,0.482988566160202,0.482988566160202,0.4921279847621918,0.7437928318977356,0.7437928318977356,0.3724621534347534,0.482988566160202,0.7437928318977356,0.48264190554618835,0.7436460852622986,0.482988566160202
0.00010870063402364284,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2049,0.7425765991210938,0.2421988844871521,0.45143502950668335,0.4615885615348816,0.4615885615348816,0.3618009686470032,0.7073567509651184,0.7073567509651184,0.4615885317325592,0.7073567509651184,0.4622212052345276,0.7075145244598389,1.243574857711792,0,,,,,,,,,,,,,,,,
0.00011322988669078062,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2099,0.7439813613891602,0.24358201026916504,0.4419763684272766,0.4508463442325592,0.4508463442325592,0.3556082844734192,0.6959635615348816,0.6959635615348816,0.4508463442325592,0.6959635615348816,0.45350825786590576,0.6971209645271301,1.255954384803772,0,,,,,,,,,,,,,,,,
0.00011779592046007935,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2149,0.7419082522392273,0.24153319001197815,0.4690217673778534,0.4781900942325592,0.4781900942325592,0.3703076243400574,0.7132161855697632,0.7132161855697632,0.4781900942325592,0.7132161259651184,0.47379234433174133,0.711882472038269,1.233102798461914,0,,,,,,,,,,,,,,,,
0.00012239422920747256,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2199,0.7406520843505859,0.2402951419353485,0.47056129574775696,0.4830729365348816,0.4830729365348816,0.37586328387260437,0.728515625,0.728515625,0.4830729067325592,0.728515625,0.48162251710891724,0.7284142374992371,1.2171813249588013,0,,,,,,,,,,,,,,,,
0.0001270202749573872,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2249,0.7421028017997742,0.24174463748931885,0.4537528157234192,0.4632161259651184,0.4632161259651184,0.3688289225101471,0.71484375,0.71484375,0.4632161557674408,0.71484375,0.46101993322372437,0.7135036587715149,1.24295973777771,0,,,,,,,,,,,,,,,,
,2269,,,,,,,,,,,,,,0,0.7377177476882935,0.23744404315948486,34.13413619995117,1.194501519203186,1.194501519203186,0.48933714628219604,0.48933714628219604,0.4956018626689911,0.7468457221984863,0.7468457221984863,0.37556588649749756,0.48933714628219604,0.7468457221984863,0.4893464744091034,0.7468255758285522,0.48933714628219604
0.00013166949236117733,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2299,0.7399632334709167,0.23962187767028809,0.47667524218559265,0.4873047173023224,0.4873047173023224,0.3732805848121643,0.7229817509651184,0.7229817509651184,0.4873046875,0.7229817509651184,0.4835967421531677,0.7208805084228516,1.2157361507415771,0,,,,,,,,,,,,,,,,
0.00013633729320257224,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2349,0.7415016889572144,0.24114760756492615,0.457158625125885,0.4645182490348816,0.4645182490348816,0.3665453791618347,0.7125650644302368,0.7125650644302368,0.4645182192325592,0.7125651240348816,0.46504414081573486,0.7128913998603821,1.2352294921875,0,,,,,,,,,,,,,,,,
0.00014101907092569187,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2399,0.7384394407272339,0.23815494775772095,0.47631800174713135,0.4853515625,0.4853515625,0.3777952194213867,0.7353515625,0.7353515625,0.4853515625,0.7353515625,0.4843616783618927,0.7359620928764343,1.2060438394546509,0,,,,,,,,,,,,,,,,
0.0001457102051811614,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2449,0.7390345335006714,0.2387329787015915,0.4726668894290924,0.4820963740348816,0.4820963740348816,0.38127416372299194,0.7389322519302368,0.7389322519302368,0.4820963442325592,0.7389323115348816,0.48255208134651184,0.7384708523750305,1.21368408203125,0,,,,,,,,,,,,,,,,
,2496,,,,,,,,,,,,,,0,0.7363783717155457,0.23613788187503815,34.132747650146484,1.1819918155670166,1.1819918155670166,0.5013814568519592,0.5013814568519592,0.5062282085418701,0.7573485970497131,0.7573485970497131,0.37948736548423767,0.5013814568519592,0.7573485970497131,0.5014933347702026,0.7574014067649841,0.5013814568519592
0.0001504060663858382,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2499,0.7388303279876709,0.238523930311203,0.4764634370803833,0.4847005307674408,0.4847005307674408,0.37232959270477295,0.7291666269302368,0.7291666269302368,0.4847005307674408,0.7291666865348816,0.48749858140945435,0.7296638488769531,1.2070883512496948,0,,,,,,,,,,,,,,,,
0.00015510202029165145,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2549,0.7380062937736511,0.23773805797100067,0.49014219641685486,0.4980468451976776,0.4980468451976776,0.3825105130672455,0.74609375,0.74609375,0.498046875,0.74609375,0.4992368817329407,0.7456164360046387,1.2055511474609375,0,,,,,,,,,,,,,,,,
0.0001597934325590455,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2599,0.7375330924987793,0.2372593730688095,0.484971284866333,0.4925130307674408,0.4925130307674408,0.3828853964805603,0.736328125,0.736328125,0.4925130307674408,0.736328125,0.4889284670352936,0.7359268665313721,1.1977996826171875,0,,,,,,,,,,,,,,,,
0.00016447567333051347,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2649,0.7385587096214294,0.23827356100082397,0.4730844497680664,0.4807942509651184,0.4807942509651184,0.37171220779418945,0.7314453125,0.7314453125,0.4807942807674408,0.7314453125,0.48534634709358215,0.7322197556495667,1.209713101387024,0,,,,,,,,,,,,,,,,
0.00016914412179970772,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2699,0.7362043261528015,0.23598168790340424,0.49582022428512573,0.50390625,0.50390625,0.3812708258628845,0.74609375,0.74609375,0.50390625,0.74609375,0.5065405964851379,0.7462059855461121,1.1919348239898682,0,,,,,,,,,,,,,,,,
,2723,,,,,,,,,,,,,,0,0.7347960472106934,0.23460781574249268,34.128719329833984,1.1700893640518188,1.1700893640518188,0.5131785869598389,0.5131785869598389,0.512715220451355,0.7660942673683167,0.7660942673683167,0.3844851851463318,0.5131785869598389,0.7660942673683167,0.5131680965423584,0.766066312789917,0.5131785869598389
0.00017379417077161772,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2749,0.7371931076049805,0.23694300651550293,0.4905168414115906,0.4983724057674408,0.4983724057674408,0.38200151920318604,0.7470703125,0.7470703125,0.4983724057674408,0.7470703125,0.49896863102912903,0.7475671768188477,1.1960062980651855,0,,,,,,,,,,,,,,,,
0.0001784212312093155,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
