lr-AdamW,step,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric,epoch,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.763221263885498,0.26288801431655884,34.02009963989258,1.4198620319366455,1.4198620319366455,0.2558285593986511,0.2558285593986511,0.26565730571746826,0.5276857018470764,0.5276857018470764,0.2717406749725342,0.2558285593986511,0.5276857018470764,0.25555187463760376,0.5273903012275696,0.2558285593986511,0,,,,,,,,,,,,,
1.189323436817763e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,0,0.7691625952720642,0.26970070600509644,0.25728076696395874,0.25390625,0.25390625,0.24882519245147705,0.49609375,0.49609375,0.25390625,0.49609375,0.2545658349990845,0.49741217494010925,2.132335662841797
,67,0.7629412412643433,0.2625938951969147,34.02033615112305,1.413266897201538,1.413266897201538,0.2590285837650299,0.2590285837650299,0.26679375767707825,0.5287428498268127,0.5287428498268127,0.2709144949913025,0.2590285837650299,0.5287428498268127,0.25880372524261475,0.5285090208053589,0.2590285837650299,0,,,,,,,,,,,,,
1.7726394439046153e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,0,0.7727223634719849,0.27343711256980896,0.24168267846107483,0.2412109375,0.2412109375,0.24601493775844574,0.4912109375,0.4912109375,0.2412109375,0.4912109375,0.2396288961172104,0.4904489815235138,2.229142904281616
,101,0.7628783583641052,0.26252493262290955,34.02070236206055,1.408983826637268,1.408983826637268,0.26357144117355347,0.26357144117355347,0.27152836322784424,0.5364857316017151,0.5364857316017151,0.27465447783470154,0.26357144117355347,0.5364857316017151,0.26372605562210083,0.536673903465271,0.26357144117355347,0,,,,,,,,,,,,,
,135,0.7625859975814819,0.2622205317020416,34.02117156982422,1.4026225805282593,1.4026225805282593,0.2678857147693634,0.2678857147693634,0.2727400064468384,0.5409142971038818,0.5409142971038818,0.27554407715797424,0.2678857147693634,0.5409142971038818,0.26827892661094666,0.5415045022964478,0.2678857147693634,0,,,,,,,,,,,,,
2.7494512169227363e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,0,0.7711739540100098,0.2717614769935608,0.26325875520706177,0.2587890625,0.2587890625,0.24684344232082367,0.4921875,0.4921875,0.2587890625,0.4921875,0.26027894020080566,0.49497586488723755,2.148163080215454
,169,0.7622947692871094,0.2619168758392334,34.021846771240234,1.3966219425201416,1.3966219425201416,0.27651429176330566,0.27651429176330566,0.2798742651939392,0.54554283618927,0.54554283618927,0.27689939737319946,0.27651429176330566,0.54554283618927,0.27639833092689514,0.5454496145248413,0.27651429176330566,0,,,,,,,,,,,,,
4.1187947605840046e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,0,0.769378662109375,0.26990872621536255,0.257717102766037,0.2548828125,0.2548828125,0.2678428888320923,0.53125,0.53125,0.2548828125,0.53125,0.25542816519737244,0.5319225788116455,2.078101396560669
,203,0.7617699503898621,0.26137587428092957,34.022708892822266,1.3878670930862427,1.3878670930862427,0.28862857818603516,0.28862857818603516,0.2894914746284485,0.5590857267379761,0.5590857267379761,0.28231173753738403,0.28862857818603516,0.5590857267379761,0.28776317834854126,0.5582869648933411,0.28862857818603516,0,,,,,,,,,,,,,
,237,0.7613884806632996,0.260981023311615,34.02382278442383,1.380791425704956,1.380791425704956,0.2969714403152466,0.2969714403152466,0.2977769076824188,0.5678285956382751,0.5678285956382751,0.2858060896396637,0.2969714403152466,0.5678285956382751,0.2969765067100525,0.5679215788841248,0.2969714403152466,0,,,,,,,,,,,,,
5.8793186981337385e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,,,0,0.7673088312149048,0.26773959398269653,0.2506926357746124,0.2509765625,0.2509765625,0.2624392509460449,0.5244140625,0.5244140625,0.2509765625,0.5244140625,0.2512074410915375,0.5248738527297974,1.9785159826278687
