lr-AdamW,step,train_softmargin,train_sigmoidalfocal,train_precision,train_recall,train_acc,train_precision2,train_recall2,train_acc2,train_acc_mi,train_acc2_mi,train_acc_ma,train_acc2_ma,train_loss_s,epoch,val_softmargin,val_sigmoidalfocal,L1,val_loss_s,val_loss,val_acc,val_recall,val_precision,val_acc2,val_recall2,val_precision2,val_acc_mi,val_acc2_mi,val_acc_ma,val_acc2_ma,hp_metric
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.023458097928609e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.7717444896697998,0.2724730968475342,0.24182981252670288,0.2438150942325592,0.2438150942325592,0.24346104264259338,0.48828125,0.48828125,0.2438151091337204,0.48828125,0.24523264169692993,0.4906390309333801,2.2741358280181885,0,,,,,,,,,,,,,,,,
1.0957337984312352e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.7692543864250183,0.2698434591293335,0.25994259119033813,0.259765625,0.259765625,0.2501488924026489,0.4977213442325592,0.4977213442325592,0.259765625,0.4977213442325592,0.26057350635528564,0.4998006820678711,2.2164502143859863,0,,,,,,,,,,,,,,,,
1.2167655450254705e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.7685532569885254,0.26910507678985596,0.263680636882782,0.2623698115348816,0.2623698115348816,0.25844815373420715,0.5162760615348816,0.5162760615348816,0.2623697817325592,0.5162760615348816,0.2620171904563904,0.515998125076294,2.146256923675537,0,,,,,,,,,,,,,,,,
1.3864338939897578e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.7691537737846375,0.26970624923706055,0.26291805505752563,0.2633463740348816,0.2633463740348816,0.25200963020324707,0.5042318105697632,0.5042318105697632,0.2633463442325592,0.5042317509651184,0.26286056637763977,0.5038536787033081,2.1649985313415527,0,,,,,,,,,,,,,,,,
,226,,,,,,,,,,,,,,0,0.7612913250923157,0.26089712977409363,34.04631805419922,1.3865786790847778,1.3865786790847778,0.2895300090312958,0.2895300090312958,0.30730199813842773,0.5607685446739197,0.5607685446739197,0.2904834747314453,0.2895300090312958,0.5607685446739197,0.289456844329834,0.560681939125061,0.2895300090312958
1.604571403147985e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,0.7683595418930054,0.26889878511428833,0.2608983516693115,0.2600911557674408,0.2600911557674408,0.2539325952529907,0.5074869990348816,0.5074869990348816,0.2600911557674408,0.5074869990348816,0.26030758023262024,0.5075596570968628,2.1380503177642822,0,,,,,,,,,,,,,,,,
1.8709627971146692e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,299,0.7698476314544678,0.2704101800918579,0.2518012523651123,0.2513020634651184,0.2513020634651184,0.25460198521614075,0.5091145634651184,0.5091145634651184,0.2513020932674408,0.5091145634651184,0.25099650025367737,0.5085477828979492,2.109025001525879,0,,,,,,,,,,,,,,,,
2.185345179745789e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,0.7672857046127319,0.2677258253097534,0.2683279514312744,0.2669270932674408,0.2669270932674408,0.26565828919410706,0.5299479365348816,0.5299479365348816,0.2669270932674408,0.5299479365348816,0.2669636011123657,0.5296376943588257,2.061866044998169,0,,,,,,,,,,,,,,,,
2.5474082935855393e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,0.7670105695724487,0.26742300391197205,0.26289114356040955,0.26171875,0.26171875,0.25929757952690125,0.5166015625,0.5166015625,0.26171875,0.5166015625,0.2613377571105957,0.5159398317337036,2.008706569671631,0,,,,,,,,,,,,,,,,
2.9567948260529572e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449,0.76787269115448,0.26829105615615845,0.25847095251083374,0.2571614682674408,0.2571614682674408,0.25442445278167725,0.5071614384651184,0.5071614384651184,0.2571614682674408,0.5071614384651184,0.2573464512825012,0.5075892210006714,1.9846255779266357,0,,,,,,,,,,,,,,,,
