# 2021/11/14 - 18:40 | PDB: 45.21 | UniProt: 2021.04
PDB	CHAIN	SP_PRIMARY	SF_DOMID	FA_DOMID
1jbe	A	P0AE67	8034311	8021931
1w25	A	B8GZM2	8043222	8030843
1dz3	A	P52934	8044042	8031664
1c4k	A	P43099	8044105	8031727
3cg4	A	Q2FQ04	8072814	8072813
3lte	U	Q1N036	8072832	8072831
3c97	A	Q2U940	8072882	8072881
3hdv	D	Q88QX9	8074339	8074338
5iej	A	A0A1C7D1A8	8096502	8096501
5lwk	A	A0A247D6V8	8096608	8096607
6xvu	D	Q9RZA5	8104015	8104014
2yjg	A	D9TQ02	8091609	8045707
5nm9	A	B3S7S5	8083638	8083637
3may	B	O53654	8091614	8045713
1sb6	A	P73213	8041524	8029145
1mwz	A	P37617	8043862	8031484
2kt2	A	P00392	8084339	8084338
4hvz	A	Q44642	8091414	8045864
4ye6	A	P47897	8092913	8092912
6ogi	v	D7XH79	8093520	8093519
6spf	V	A0A072ZBM5	8096076	8096075
5wf0	V	B7LAK9	8097308	8097307
1v9v	A	O60307	8033084	8020704
1pbw	A	P27986	8038516	8026137
2xs6	A	O00459	8079459	8079458
3fk2	A	Q9NRY4	8079467	8079466
2q3n	A	Q9M6E9	8035203	8022823
1qi7	A	P20656	8036982	8024603
2ga4	A	P09385	8041775	8029396
4p2c	A	Q7WUF4	8073996	8073995
4hr6	B	U3KRF8	8077769	8077768
6x6h	A1	A9ZMR8	8097214	8097213
1osc	A	Q6MGD0	8037763	8025384
4e98	B	Q5CX58	8063680	8063679
4iyq	A	Q2GG79	8063682	8063681
2nuh	A	Q9PFN8	8063688	8063687
3t9z	A	O28524	8074427	8074426
2dcl	B	O59172	8089360	8089359
3ce8	A	A3CYS0	8103599	8046695
5ewn	B	Q82452	8091689	8051124
2zzq	A	P29326	8093119	8093117
1olp	A	Q8GCY3	8037633	8025254
1lpb	B	P16233	8041084	8028705
4wur	A	K9N7C7	8091726	8051175
4ypt	A	P0C6X9	8091732	8091731
5utv	A	P0C6W5	8091736	8091735
3oss	C	E3PJ87	8091779	8046337
2qtv	A	P15303	8036407	8024028
1yvw	A	Q81G00	8034968	8022588
1ogl	A	O15923	8037478	8025099
2dya	A	O58429	8039990	8027611
3prv	A	Q4E256	8061529	8061528
2zua	A	Q401C5	8061539	8061538
4wbf	A	B0VKS3	8061553	8061552
3pj9	A	Q9PIG7	8061563	8061562
2hur	A	P0A763	8061565	8061564
6agy	A	Q7Z8P9	8094751	8094750
5ejr	A	Q9U1M8	8091855	8091854
2zxj	A	Q9RDT5	8075573	8075572
2k4j	A	Q9ZMR6	8075575	8075574
5dcm	A	X5JZS1	8075591	8075590
2rv8	A	R4MFJ2	8076221	8076220
6iju	A	Q9KJN4	8100570	8100569
2w9y	A	Q9TZ51	8092040	8047598
1hc8	A	P56210	8039481	8027102
1pu1	A	O26773	8038303	8025924
1sdw	A	P14925	8041545	8029166
3alr	B	Q4QRE8	8054185	8047530
1wjf	A	P04587	8072147	8072146
5x5f	A	K9N5Q8	8092156	8092155
6cv0	A	F4MIW6	8092596	8092595
1ekr	A	P0A738	8035535	8023155
2ohd	C	Q975D5	8074844	8074843
1z2l	A	P77425	8035111	8022731
3lxr	F	Q9AJW7	8092767	8051286
2leh	A	O14893	8092161	8046710
1joc	A	Q15075	8037258	8024879
5fim	A	P0ADE6	8092168	8046785
4alz	A	Q01245	8092177	8092174
4alz	A	Q01245	8092178	8092175
1ddt	A	P00588	8036997	8024618
1r45	A	Q00901	8042181	8029802
1gs0	A	O88554	8042270	8029891
1wfx	A	Q9YFP5	8043512	8031134
3bw8	A	Q46134	8084115	8084114
5urp	A	M9V3B7	8084123	8084122
4qiw	N	Q5JJC9	8063360	8063359
2v4d	B	P52477	8092210	8028933
1p30	A	P04133	8038150	8025771
1f3v	A	Q15628	8035538	8023158
1ja1	A	P00388	8034257	8021877
1yob	A	P00324	8034804	8022424
1t0i	A	Q07923	8039859	8027480
1tll	A	P29476	8040295	8027916
2fzv	A	Q7UC03	8041570	8029191
1bu5	A	P00323	8044069	8031691
2rg1	A	P0A8G6	8066681	8066680
2m6r	A	P65367	8077835	8077834
6dxp	C	A6TCS9	8080963	8080962
6ohk	A	Q8RFH4	8095775	8095774
7bx9	A	B3VPZ9	8102064	8102063
3dza	B	A6TE93	8092291	8045834
1t77	A	P50851	8042417	8030038
3epy	A	Q8N6N7	8073168	8073167
3fp5	A	D1MPT1	8073170	8073169
1st7	A	P31787	8073172	8073171
2owl	A	P36767	8092306	8045841
2vz8	A	A5YV76	8055919	8055918
6smd	B	Q7N385	8101068	8101067
4rl1	A	Q79ZN1	8101074	8101071
3txs	C	Q6U9F0	8092311	8045861
1mix	A	P54939	8043599	8031221
5ejr	A	Q9U1M8	8091858	8091856
5jex	A	Q8E378	8064302	8064301
5mtc	A	Q6VT21	8064318	8064317
3e3u	A	P9WIJ3	8064326	8064325
5cvq	A	Q5H3Z2	8064328	8064327
1rv9	A	Q9K0A8	8038959	8026580
6dzd	A	A5A677	8097116	8097115
6dku	A	G9JKD1	8092342	8084380
1kfu	L	P17655	8038195	8025816
1df0	A	Q07009	8041118	8028739
4p6v	D	Q9X4Q6	8092389	8050482
2k0b	X	Q13501	8034756	8022376
2cos	A	Q7TSJ6	8039158	8026779
2cpw	A	Q8TF42	8039186	8026807
2crn	A	P57075	8039236	8026857
2di0	A	Q9H1I8	8039764	8027385
1wgn	A	Q9NZ09	8043521	8031143
2knz	A	Q99NB8	8081538	8081537
2ekk	A	Q7Z6Z7	8087316	8087315
3fri	A	Q763K9	8090793	8090792
5y3t	B	Q924T7	8092512	8088203
5y3t	B	Q924T7	8092513	8088203
2ev1	A	P9WMU9	8092577	8045994
4rsc	B	Q28175	8092354	8051041
3qc7	A	B3VMP4	8092516	8045987
1tfi	A	P23193	8039142	8026763
1twf	I	P27999	8042689	8030310
2kwq	A	Q5EAW4	8051999	8044694
5xog	M	A0A1B2JER8	8082398	8082397
3fz0	A	Q57X73	8083612	8083611
2ev1	A	P9WMU9	8092579	8045994
1gme	A	Q41560	8035969	8023589
1ejf	A	Q15185	8041125	8028746
5nms	A	P31170	8085412	8085411
2ygd	K	P02511	8089917	8047851
4ye0	A	Q20363	8089927	8062169
4fei	A	Q9RTR5	8100634	8100633
2gut	A	Q96RN5	8057053	8045204
5jk9	E	Q8IYV9	8092638	8050777
1s4e	A	Q9HHB6	8041332	8028953
5i08	A	Q0ZME7	8092673	8092672
2gi3	A	Q9X0Z9	8041897	8029518
1mt5	A	P97612	8043764	8031386
4n0i	A	Q03557	8099090	8099089
2y0n	A	Q8N5Y2	8092776	8047499
5cz3	A	Q9Q8N4	8092770	8051312
1vdr	A	P15093	8032729	8020349
3ky8	A	A3QB00	8086281	8086280
7k62	B	A0A653EQ34	8102589	8102588
1azz	C	P23827	8041127	8028748
1dxg	A	P00273	8039222	8026843
1vzi	A	Q46495	8041582	8029203
1rdv	A	P15412	8068777	8068776
2jz8	A	A0A0H3M3K8	8091044	8051762
1ykw	A	Q8KBL4	8034674	8022294
3rub	L	P00876	8035389	8023009
1geh	A	O93627	8035844	8023464
4hn7	A	P37590	8092830	8046083
7req	A	P11653	8044101	8031723
7req	B	P11652	8044102	8031724
1xrs	B	E3PRJ4	8044142	8031764
4r3u	D	I3VE74	8083296	8083295
1sb2	A	P81397	8032378	8019998
1z70	X	Q8NBK3	8035280	8022900
1htn	A	P05452	8037116	8024737
1f00	I	P19809	8037133	8024754
1sl4	A	Q9NNX6	8039558	8027179
1kg0	C	P03205	8040257	8027878
1wk1	A	Q19853	8043623	8031245
5j2s	A	A4KWA1	8065446	8065445
3bdw	B	P26715	8065448	8065447
2mti	A	G5E882	8065458	8065457
4iop	B	D3W0D1	8065464	8065463
3wwk	A	Q9I841	8065488	8065487
3c22	B	Q9UJ71	8065498	8065497
2py2	A	Q91992	8065502	8065501
3als	A	Q7M4F9	8072465	8072464
3ro3	B	Q3HNM7	8092839	8046086
4gwb	A	Q92Y45	8081989	8081988
1yu5	X	P02640	8034896	8022516
2cru	A	O14737	8039238	8026859
2abq	A	Q9KEM5	8036853	8024474
2ax3	A	Q9X024	8037442	8025063
1lhp	B	P82197	8043040	8030661
3dzv	A	Q830K4	8065923	8065922
4x8f	A	A0A0H2UL04	8075341	8075340
3in1	A	P77493	8075349	8075348
3gbu	A	O59128	8075365	8075364
4du5	A	Q12CR9	8075369	8075368
3bgk	A	Q8DVC0	8083706	8083705
3kzh	A	Q8XKB8	8088636	8088635
6p2d	A	P97328	8093866	8093865
6k8z	B	A0A3S7X3C0	8096800	8096799
6c9r	B	P9WID5	8099044	8099043
7e4l	A	R4NYE9	8103228	8103227
6ens	A	P70296	8077411	8077410
3axy	A	Q93WI9	8077421	8077420
6emw	f	Q2G1U5	8092887	8092886
1azs	A	P30803	8035568	8023188
1jx4	A	Q97W02	8035590	8023210
2w01	B	P72951	8064528	8064527
3n6l	A	D3K0N8	8071545	8071544
4wp3	B	Q5UFR5	8088294	8088293
4kgm	B	Q3F0V8	8090896	8045933
4zvf	A	P0AA89	8098390	8098389
3icl	A	Q60BX6	8099746	8099745
2hx0	A	Q57K43	8042461	8030082
6j92	A	P05361	8058933	8058932
4bt3	A	P23616	8058937	8058936
3d19	A	3D19_A	8040380	8028001
3dby	A	3DBY_A	8040603	8028224
4ye6	A	P47897	8092921	8092917
1s2x	A	Q9JMX9	8039104	8026725
4ye6	A	P47897	8092920	8046133
1bc9	A	Q15438	8038628	8026249
1nvp	D	P52657	8037007	8024628
1d2d	A	Q7SIA2	8036755	8024376
4v6w	AN	Q03334	8052946	8052945
3j9w	AO	P21473	8072617	8072616
5tcu	S6	Q2G2Q1	8072621	8072620
5myj	AO	A2RMV9	8072623	8072622
4iyl	A	Q0PA13	8072633	8072632
1rqb	A	Q70AC7	8038894	8026515
2h5e	A	P0A7I4	8092474	8045936
1gg4	A	P11880	8091454	8003727
5x0g	A	Q5JD03	8087495	8087494
3trh	A	Q83AA3	8059317	8059316
5etq	A	Q2G0Q5	8079246	8079245
1hbn	A	P11558	8033123	8020743
5a8w	F	A0A1C7D1E5	8094333	8094332
2pbk	A	O36607	8035515	8023135
1vzv	A	P09286	8042522	8030143
3rmq	A	C7MVX3	8093025	8046210
1oru	A	O32079	8037731	8025352
1gh8	A	O27734	8035469	8023089
3a7m	B	P0A1N2	8092869	8047154
2brx	A	Q8U122	8038460	8026081
3nwy	F	P9WHK5	8063666	8063665
4axs	A	Q8EVF4	8074391	8074390
3u6u	A	Q5SH27	8084038	8084037
3s6g	B	Q0ASS9	8101143	8101142
6hat	A	P13199	8093039	8093038
6qbe	A	H6W1B5	8093063	8093062
3fh3	B	A0A6L8PES2	8086621	8047338
1z8h	A	Q8YWS4	8035381	8023001
1fxw	F	P68401	8035714	8023334
1k7c	A	Q00017	8037865	8025486
7c2d	A	A0A4P1LYH7	8096836	8096835
6o93	A	Q830N3	8103580	8103579
1i19	A	Q7SID9	8033517	8021137
1e8g	A	P56216	8035624	8023244
2kic	A	Q9F5X9	8093101	8046230
3wtd	B	Q9BUH6	8053699	8051185
6z4a	A	Q6UVJ0	8099840	8099839
1vqo	3	P32411	8032610	8020230
1vqo	Z	P60619	8032661	8020281
2ayj	A	Q980V5	8033506	8021126
4v6u	AW	Q8U474	8063782	8063781
4v6u	AY	Q8U443	8088663	8088662
6wd0	C	L3NSS9	8093582	8093581
6pj6	i	V0ZMP5	8093692	8093691
6bok	DA	Q72GW3	8099892	8099891
6ywy	X	A0A0B0E6P7	8101197	8101196
5t2a	m	E9BFK4	8101419	8101418
3jbp	Af	Q8ID50	8101707	8101706
7m4w	0	A0A062FI44	8103018	8103017
3j6x	83	P0CX25	8103126	8103125
3hag	A	Q9IVZ8	8093108	8050978
3iyo	D	Q1AHV0	8093120	8050973
3rkd	A	P33426	8093125	8050976
1ihm	A	Q83884	8093128	8093127
1nkt	A	P9WGP5	8033409	8021029
2j5a	A	O66474	8034623	8022243
7nhn	g	Q8YAR9	8103204	8103203
3jsz	A	Q5WWY0	8093141	8093140
6uct	A	D9U542	8102661	8102660
2a10	A	P73407	8036519	8024140
2fk5	A	Q5SHB9	8099710	8099709
4cid	A	Q8BH64	8093356	8046291
1fdq	A	O15540	8033025	8020645
1yiv	A	P0C6G6	8034579	8022199
1txl	A	P76344	8040519	8028140
1kqw	A	Q8UVG6	8040580	8028201
2gc9	A	F9ULL2	8041828	8029449
2hnx	A	P15090	8042368	8029989
1rbp	A	P02753	8042583	8030204
1beb	A	P02754	8042609	8030230
1epb	A	P06911	8042619	8030240
1np1	A	Q26239	8042637	8030258
1ftp	A	P41496	8042663	8030284
1opb	A	P06768	8042671	8030292
1o1v	A	P51161	8044054	8031676
1y9l	A	P0A1X2	8052639	8046460
3ge2	A	A0A0H2UNA1	8052640	8047316
3rwx	A	Q5LBW6	8052648	8052646
4i95	A	4I95_A	8052651	8050735
4azp	A	Q05816	8062811	8062810
5ngh	A	G1LK14	8070878	8070877
3kff	A	P11590	8070884	8070883
3l4r	A	O18874	8070892	8070891
4ory	G	P41222	8070914	8070913
3a3c	A	P36046	8093200	8048693
3hkz	G	Q980L5	8093393	8046455
3h0g	H	Q92399	8093396	8078386
5flm	H	F2Z4H3	8093398	8078390
1q06	B	P0A9G4	8074605	8027107
5gpe	A	Q1LKZ5	8086655	8075300
