# 2021/11/14 - 18:08 | PDB: 45.21 | UniProt: 2021.04
SP_PRIMARY	PDB
A0A003	6kvc
A0A009I821	7m4w;7m4x;7m4y;7m4z
A0A009L7S8	7m4w;7m4x;7m4y;7m4z
A0A009QSN8	6v39;6v3a;6v3b;6v3d
A0A010	5b00;5b01;5b02;5b03;5b0i;5b0j;5b0k;5b0l;5b0m;5gwv;5gww;6j8v;6j8w
A0A011	3vk5;3vka;3vkb;3vkc;3vkd
A0A014C6J9	6br7
A0A014CLK2	7m4w
A0A014M399	7dfx;7dg0
A0A016UNP9	2md0
A0A016UZK2	7a4a
A0A017T5A5	6gmf
A0A022IPE7	7m4y;7m4z
A0A022MQ12	6sj0;6sj1;6sj2;6sj3;6sj4
A0A022MRT4	6siw;6six;6siy;6siz;6tm4
A0A023DFE8	6n9i;6n9q;6n9r
A0A023GPI4	2m6j
A0A023GPI5	4ccs
A0A023GPI8	4k1y;4k1z;4k20;4k21
A0A023GPJ0	4ntq
A0A023GUL3	5f5l;5f5n
A0A023GUP0	2my5;2my6;5wpx;5wpy
A0A023GYI2	2nb6
A0A023GYK7	2nb5
A0A023H437	5fuj;5fuk
A0A023I7E1	5xbz;5xc2
A0A023J4Z7	6hj6;6hjc
A0A023J6X7	6eio
A0A023LLI1	5z6p
A0A023NA98	7d5y
A0A023PKG5	5thq;5tii
A0A023R6W2	5j09;5j36;5j37
A0A023T3X2	4v2i
A0A023UGN9	6etz;6h1p;6se8;6se9;6sea;6seb;6sec;6sed;6zjp;6zjq;6zjr;6zjs;6zjt;6zju;6zjv;6zjw;6zjx
A0A023VSF1	5bp8
A0A023X3Z4	7lq2;7lq3;7lq4
A0A024B5J2	6y5x;6y5y
A0A024B7W1	5goz;5gp1;5h30;5h32;5h37;5ire;5iz7;5jmt;5kqr;5kqs;5kve;5lbs;5lbv;5lcv;5m5b;5mrk;5nju;5njv;5u4w;5uhy;5ulp;5y0a;5y6m;5y6n;6co8;6i7p;6jfh;6jfi;6ld1;6ld2;6ld3;6ld4;6ld5;6lnt;6lnu;6mid;6nip;6niu;6plk;6rwz;6s0j;6um3;7bpk;7bq5;7bsd;7bu8;7bua;7c2t;7cbp;7kcr;7m1v
A0A024CX39	6ii4;6ii8;6ii9
A0A024E1X5	6lxj
A0A024E2M1	4r8w
A0A024E3P0	4r8w
A0A024E3Q2	4mwj;4mwq;4mwr;4mwu;4mwv
A0A024FRL9	5wih;6ol8
A0A024FSR7	6rd4;6rd5;6rd7;6rd8;6rd9;6rda;6rdc;6rdd;6rdf;6rdh;6rdi;6rdk;6rdl;6rdn;6rdo;6rdq;6rdr;6rdt;6rdu;6rdw;6rdx;6rdz;6re0;6re2;6re3;6re5;6re6;6re8;6re9;6reb;6rec;6ree;6ref;6rep;6res;6ret
A0A024L1E0	7awt
A0A024L327	6iny
A0A024L5I2	7nnl;7nnp
A0A024L5V9	7n9z
A0A024L8R9	6yss;6yst;6ysu
A0A024L8Y8	7eft
A0A024QYS6	5gqc;5gqf;5gqg
A0A024R326	5lks
A0A024R644	6r99
A0A024R969	7cj2
A0A024R9Y3	6xz1
A0A024RAV5	2msc;2msd;2mse
A0A024S820	6h7t;6i1q;6i1t
A0A024UZE1	4z09;4z0d;4z0e;4z0f;5nqf
A0A024V0B1	4zx8;4zx9;4zy0;4zy1;4zyq;5cbm
A0A024X9S2	7kiy
A0A029HJ91	6q97
A0A029IK04	6osk;6osq
A0A029IK47	6lkq
A0A029IKB7	6osk;6osq
A0A029IMB2	6lkq
A0A031LXI5	6pt7
A0A031WDA8	5eri
A0A031WDE4	6vxe
A0A031WJD5	7rag
A0A034W4L8	6djw;6djx
A0A037USE5	4n1v;5l8z;5ogu
A0A037Y8L6	6lkq;6ogf;6ogg;6ogi;6om6;6osk;6osq;6pj6;6u48;6vu3;6vyq;6vyr;6vys;6vyt;6vyu;6vyw;6vyx;6vyy;6vyz;6vz2;6vz3;6vz5;6vz7;6vzj;6wd0;6wd1;6wd2;6wd3;6wd4;6wd5;6wd7;6wd8;6wd9;6wda;6x6t;6x7f;6x7k;6x9q;6xdq;6xdr;6xgf;6xii;6xij;7k00;7pju;7s1g;7s1h
A0A037YI39	7nnl;7nnp
A0A037YMJ1	7jz6
A0A037YNA7	7awt
A0A037YPU0	7awt
A0A037YQ84	6s0k
A0A045GRS4	5v93
A0A045GT82	5v93
A0A045GXQ2	5v93
A0A045H1A5	7naa
A0A045H4H6	5v93
A0A045H4J2	5v93
A0A045H5T7	5v93
A0A045H6C3	6jbz
A0A045H760	5v93
A0A045HLX7	5v93
A0A045HTN2	5v93
A0A045HU18	5v93
A0A045HU86	5v93
A0A045HUG3	5v93
A0A045HUU0	5v93
A0A045HUW8	6jbz
A0A045I821	5v93
A0A045I839	5v93
A0A045IDB8	5v7q;5v93
A0A045IDD2	5v93
A0A045IMI5	5v93
A0A045IQ64	5v93
A0A045IVA2	5v93
A0A045IWV9	5v93
A0A045IWX2	5v93
A0A045IXT2	5v93
A0A045IXU4	5v93
A0A045J9H1	5v93
A0A045J9M3	5v93
A0A045JAK4	5v93
A0A045JER3	5v93
A0A045JF49	5v93
A0A045JFF4	5zr4
A0A045JJU1	5v93
A0A045JK28	5v93
A0A045JKV0	5v93
A0A045JMN7	5v93
A0A045JPX7	7ljf
A0A045JQ63	6s0m
A0A045JVY9	5v93
A0A045JW21	5v93
A0A045JW48	5v93
A0A045JX50	7myg
A0A045K0G1	5v93
A0A045KJ85	5v93
A0A045KKY9	5v93
A0A051TYQ1	6ihg
A0A059PIQ0	4xgy;4zf3;5bt0;5btt;5dy6;5wwk;5yr2;6h01;7a7m;7a7n;7a7o;7a7p;7a7q;7a7r;7a7s;7a7t;7a7u;7a7v;7a7w;7a7x;7a7y;7a7z;7a80;7a81;7a82;7a83;7a84;7a85;7a86;7a87;7a88;7a89;7a8a;7a8b;7a8c;7a8d;7a8e;7a8f;7a8g;7a8h;7a8i;7a8j;7a8k;7a8l;7a8m;7a8n;7a8o;7e53
A0A059PIR9	5yr3;6l02;6m63
A0A059Q5E8	5iqk
A0A059Q6U2	5zji
A0A059QA82	6mjz
A0A059STC4	7ksc
A0A059T4A1	4qy0;4qy1;4qy2;4xq5;4xqo;4xqu;5tgo;5tgu;5tgv;5th0;5th1;5thb;5thc;6wf1
A0A059TC02	4r1s;4r1t
A0A059TFW7	2n1c;2n30
A0A059TXD8	5m99
A0A059U759	4pva;4pvi
A0A059VAZ3	4ypl;4ypm;4ypn;5e7s;6wqh;7cr9;7cra;7fd4;7fd5
A0A059VBQ9	5ykc;5yt8;5yt9;6iig;6ijt;6in5;6kcj
A0A059VJE6	6w81
A0A059WF38	7ccg
A0A059WV44	5hmn
A0A059WYP6	5tue;5tuf;5tui
A0A059WZ16	5f46;5f47;5f48;5f49;5u08
A0A059X981	5ht0;6mmz;6mn0;6mn1;6mn2;7kes
A0A059ZFC5	6j3m;6jnh;6jog
A0A059ZPG7	5vpu
A0A059ZPP5	6y8j;6y8s;6y9d;6zgp
A0A060BIS8	6s9j
A0A060BKX4	7c9x
A0A060D9Z7	6dhi
A0A060GPP4	4pbe
A0A060GPQ0	4xag
A0A060GPQ5	4xd3
A0A060GSW0	4pcn
A0A060GSW5	4xd5
A0A060GSX0	4xd4;6bhl
A0A060GTM0	4pbf
A0A060GTM7	4xay
A0A060GYS1	4pcp;5wcr;5wiz;5wms;6b2f
A0A060GYS7	4xaz;6bh7;6bhk
A0A060GZX0	4xaf;5wcp;5wcw;5wj0
A0A060GZX7	4xd6
A0A060H1D7	6ao9;6aoa;6aob
A0A060H7L8	5w8y
A0A060M4R1	7ev5
A0A060N399	7cy3;7cy9
A0A060NBN8	6bx1
A0A060P168	4yor;4yot;4you;4yov;4yow;4yox;4yoy
A0A060SC37	6xut;6xuu;6xuv
A0A060SRI5	5no7
A0A060TAG5	6w54;7kd9
A0A060XYS9	6urs
A0A060Y6X8	5f1s
A0A060ZAA1	5unk
A0A061ACU2	4pke;4pkx
A0A061BSU4	5jsz
A0A061FLD4	6cth
A0A061I3X8	7nwg;7nwh;7nwi
A0A061IH64	5mhi
A0A061J677	7ase
A0A061LQM0	6ba8;6ba9
A0A062C259	6v39;6v3a;6v3b;6v3e
A0A062C3F9	6v39;6v3a;6v3b
A0A062DJ58	7m4x
A0A062DNQ5	7m4w;7m4x
A0A062F4L9	6gie
A0A062FAE9	7m4w;7m4x
A0A062FDM9	7m4x
A0A062FG91	7m4w;7m4x;7m4y;7m4z
A0A062UZ78	6bxm;6bxn;6bxo
A0A062V290	6u43;6u44;6u45
A0A062WLD9	5jj5
A0A063KJS9	6pnu;6pop
A0A063KLJ9	6prm;6psm;6pso
A0A063KNC1	6pt4;6pt6;6pt9;6ptk
A0A063KPH1	6b0j;6b0k;6b1v;6bia
A0A063XDJ9	7jli;7jlj;7jlm;7jlr
A0A063Y6V3	6hns
A0A064CXU8	6slo
A0A066Q637	6nva;7jz7;7jz8;7jz9;7jza;7jzb;7jzc;7jzd;7jze;7jzf;7jzg
A0A066R7V5	2ru9
A0A066ZR71	5y34
A0A067E666	5mmq;5mmx;5mn0;6zuc
A0A067HWN0	4wxt
A0A067N4E7	6fsk;6fsl
A0A067SLB9	5n4b;5n4c;5n4d;5n4e
A0A067XG63	4brz
A0A067XG64	4c1o;4c1p
A0A067XG66	4c6h
A0A067XG67	4l0k
A0A067XG68	4l1e
A0A067XG69	4l1e
A0A067XG70	4l2j
A0A067XG71	4l8q
A0A067XG72	4lmv
A0A067XG73	4lmw
A0A067XG75	4n58;4n59
A0A067Y6L0	6wxl
A0A067Y7N7	4mwl;4mww;4mwx;4mwy;4mx0
A0A067YX61	5iqs;5iqt;5iqu;5iqv;5j4r;5t22;5trq
A0A067YZ73	5bqy
A0A067YZV9	5bny;5bqz
A0A067Z050	5bqy
A0A068A5A2	6d9t
A0A068B409	7edk
A0A068B6Q6	2nay
A0A068C8U8	5zvp;6jik
A0A068EP60	6yf7
A0A068F6N5	4pel;4pem
A0A068FT77	6jxg
A0A068J419	6pci;6uye
A0A068JLL8	6uan
